Итерация 545: -0,0265   -0,0472   16,0923   
Итерация 546: -0,0564   -0,0623   16,0799   
Итерация 547: -0,0402   -0,054   16,083   
Итерация 548: -0,0176   -0,0426   16,0906   
Итерация 549: -0,05   -0,0589   16,0762   
Итерация 550: -0,0328   -0,0501   16,0804   
Итерация 551: -0,057   -0,0624   16,0714   
Итерация 552: -0,0436   -0,0555   16,073   
Итерация 553: -0,0253   -0,0462   16,0781   
Итерация 554: -0,0513   -0,0593   16,0676   
Итерация 555: -0,0373   -0,0521   16,07   
Итерация 556: -0,0178   -0,0423   16,0762   
Итерация 557: -0,0458   -0,0564   16,0642   
Итерация 558: -0,031   -0,0488   16,0673   
Итерация 559: -0,0517   -0,0593   16,06   
Итерация 560: -0,0174   -0,0416   16,063   
Итерация 561: -0,0411   -0,0536   16,053   
Итерация 562: -0,0286   -0,0471   16,0554   
Итерация 563: -0,011   -0,0382   16,0613   
Итерация 564: -0,0364   -0,0511   16,05   
Итерация 565: -0,0233   -0,0444   16,0531   
Итерация 566: -0,0419   -0,0538   16,0462   
Итерация 567: -0,0117   -0,0382   16,0494   
